	T1	T2	T3	T4	T5	T6	T7	T8	T9
DTT mM	0	30	60	90	120	150	180	210	240
0	0	0	0	0	0	0	0	0	0
0.66	0	0	0.5	1	1	1	1.2	1.6	2
1	0	1	2	2.75	3.25	3.5	4	4	4
1.5	0	3	5	7.5	10	10	11	11	11
2.2	0	3	10	16	23	28	33	35.5	38
3.3	0	3	13	25	41	51	61	65.5	70
5	0	3	13	26	47	61	76	84	92
DTT mM	0	30	60	90	120	150	180	210	240
0	0	0	0	0	0	1.5	3	3	3
0.66	1	3	12	27	43	58	71	73.5	76
1	1	3	19	38	55	70	81	83	85
1.5	1	6	22	43	63	78	84	88	92
2.2	1	8	26	46	63	85	88	90	92
3.3	1	8	26	43	58	85	89	94.5	100
5	1	8	26	44	57	79	92	93	94
DTT mM	0	30	60	90	120	150	180	210	240
0	0	1	1	1	1	0	0	0	0
0.66	1	3	8	14	19	15	11	11.5	12
1	1	3	11	19	26	30	31	32	28
1.5	1	5	15	35	53	70	82	84	88
2.2	1	5	20	39	59	75	85	94	100
3.3	1	6	23	39	56	72	81	92	88
5	1	7	20	34	48	69	81	89	88
